1_liberary_count,1_liberary_related_count,1_liberary_unrelated_count,1_click_des_count,1_control_variable,1_strategy_count,1_click_restart_count,1_click_determine_count,1_related_time,1_unrelated_time,1_launch_action_diff,1_first_des_time,1_score,2_liberary_count,2_liberary_related_count,2_liberary_unrelated_count,2_click_des_count,2_control_variable,2_strategy_count,2_click_restart_count,2_click_determine_count,2_related_time,2_unrelated_time,2_launch_action_diff,2_first_des_time,2_score,3_liberary_count,3_liberary_related_count,3_liberary_unrelated_count,3_click_des_count,3_control_variable,3_strategy_count,3_click_restart_count,3_click_determine_count,3_related_time,3_unrelated_time,3_launch_action_diff,3_first_des_time,3_score,4_liberary_count,4_liberary_related_count,4_liberary_unrelated_count,4_click_des_count,4_control_variable,4_strategy_count,4_click_restart_count,4_click_determine_count,4_related_time,4_unrelated_time,4_launch_action_diff,4_first_des_time,4_score,5_liberary_count,5_liberary_related_count,5_liberary_unrelated_count,5_click_des_count,5_control_variable,5_strategy_count,5_click_restart_count,5_click_determine_count,5_related_time,5_unrelated_time,5_launch_action_diff,5_first_des_time,5_score,6_liberary_count,6_liberary_related_count,6_liberary_unrelated_count,6_click_des_count,6_control_variable,6_strategy_count,6_click_restart_count,6_click_determine_count,6_related_time,6_unrelated_time,6_launch_action_diff,6_first_des_time,6_score,name
0,0,0,0,0,2,1,10,0,0,41,14,40,4,1,3,1,0,0,0,4,8,18,34,24,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,5,1,31,0,27,38,31,30,3,2,1,1,0,0,0,24,10,4,24,4,20,110160786
6,4,2,0,0,0,0,10,32,9,44,18,0,2,0,2,0,4,0,0,21,0,13,9,4,0,2,1,1,1,0,0,0,0,31,16,83,10,100,1,0,1,1,0,0,0,11,0,3,20,7,0,0,0,0,0,0,0,0,21,0,0,21,2,60,1,0,1,1,0,0,0,11,0,13,20,14,40,110160800
1,1,0,0,0,3,2,9,2,0,38,10,0,1,0,1,0,4,0,3,18,0,19,19,3,80,0,0,0,0,0,0,0,0,0,0,14,4,100,0,0,0,0,0,0,1,4,0,0,12,3,0,0,0,0,0,0,2,1,21,0,0,13,3,0,2,0,2,0,0,0,1,6,0,23,21,6,40,110160814
2,1,1,0,0,0,1,11,6,2,25,18,40,4,2,2,1,8,0,2,34,13,10,23,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,32,0,16,12,6,60,6,6,0,0,0,0,0,20,69,0,22,8,20,110160765
1,1,0,0,0,0,0,7,4,0,36,20,40,2,1,1,0,1,0,0,13,9,0,106,31,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,0,13,38,23,60,4,4,0,1,0,0,0,9,17,0,40,24,0,110160734
2,2,0,0,0,0,0,6,20,0,60,21,40,1,1,0,0,0,0,0,7,4,0,61,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,0,19,7,60,1,0,1,0,0,0,0,1,0,2,38,13,0,110320803
0,0,0,0,0,0,0,8,0,0,26,18,0,4,2,2,0,7,0,0,25,23,13,25,19,80,1,1,0,0,0,0,0,0,3,0,28,12,100,0,0,0,0,0,2,1,11,0,0,11,7,100,2,0,2,0,0,0,0,15,0,33,78,4,60,2,1,1,0,0,0,0,28,4,0,49,2,40,110160797
0,0,0,0,0,0,0,6,0,0,27,15,40,1,0,1,0,0,0,2,11,0,8,7,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,6,60,1,0,1,3,0,0,0,15,0,3,13,8,40,110160775
4,1,3,0,0,0,0,1,6,23,20,6,0,1,1,0,1,0,0,0,7,13,0,68,18,60,0,0,0,0,0,0,0,0,0,0,25,17,100,0,0,0,0,0,0,0,5,0,0,19,16,100,0,0,0,1,0,3,4,24,0,0,19,7,0,1,0,1,1,0,1,2,13,0,9,11,5,20,110160748
1,1,0,0,0,1,1,14,8,0,38,33,40,1,1,0,0,0,0,0,29,11,0,16,15,80,0,0,0,1,0,0,0,0,0,0,28,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,52,0,0,22,11,60,1,0,1,0,0,0,0,51,0,9,14,7,40,110168870
